,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch,readable time
0,BTCUSDT,839107059,5958299498,-1,43350.00000000,0.00063200,27.39720000,0.00000063,BTC,1621223661011,True,True,True,2021-05-17 11:54:21
1,BTCUSDT,839107061,5958299498,-1,43350.00000000,0.00056200,24.36270000,0.00000056,BTC,1621223661065,True,True,True,2021-05-17 11:54:21
2,BTCUSDT,839107065,5958299498,-1,43350.00000000,0.00809700,351.00495000,0.00000810,BTC,1621223661171,True,True,True,2021-05-17 11:54:21
24,BTCUSDT,839107059,5958299498,-1,43350.00000000,0.00063200,27.39720000,0.00000063,BTC,1621223661011,True,True,True,2021-05-17 11:54:21
25,BTCUSDT,839107061,5958299498,-1,43350.00000000,0.00056200,24.36270000,0.00000056,BTC,1621223661065,True,True,True,2021-05-17 11:54:21
26,BTCUSDT,839107065,5958299498,-1,43350.00000000,0.00809700,351.00495000,0.00000810,BTC,1621223661171,True,True,True,2021-05-17 11:54:21
27,BTCUSDT,839112907,5958343490,-1,43100.00000000,0.00467200,201.36320000,0.00000467,BTC,1621223777234,True,True,True,2021-05-17 11:56:17
28,BTCUSDT,839119689,5958332710,-1,42980.00000000,0.00468500,201.36130000,0.00000469,BTC,1621223846347,True,True,True,2021-05-17 11:57:26
29,BTCUSDT,839601818,5961115991,-1,44835.99000000,0.00451200,202.29998688,0.20229999,USDT,1621231796119,False,False,True,2021-05-17 14:09:56
30,BTCUSDT,839612507,5961155523,-1,44800.00000000,0.00603400,270.32320000,0.27032320,USDT,1621231963395,False,True,True,2021-05-17 14:12:43
31,BTCUSDT,839616031,5961193988,-1,44820.00000000,0.00452600,202.85532000,0.20285532,USDT,1621232031213,False,True,True,2021-05-17 14:13:51
32,BTCUSDT,839618740,5961214513,-1,44943.28000000,0.00678800,305.07498464,0.30507498,USDT,1621232085482,False,False,True,2021-05-17 14:14:45
33,BTCUSDT,839620362,5961222157,-1,45000.00000000,0.00339400,152.73000000,0.15273000,USDT,1621232103203,False,True,True,2021-05-17 14:15:03
34,BTCUSDT,839626541,5961244320,-1,45300.00000000,0.00305500,138.39150000,0.13839150,USDT,1621232164420,False,True,True,2021-05-17 14:16:04
35,BTCUSDT,840059767,5964261346,-1,45180.00000000,0.00033900,15.31602000,0.01531602,USDT,1621244374043,False,True,True,2021-05-17 17:39:34
36,BTCUSDT,840454477,5967190013,-1,44723.01000000,0.00165100,73.83768951,0.00000165,BTC,1621258074086,True,False,True,2021-05-17 21:27:54
37,BTCUSDT,840454511,5967164195,-1,44720.00000000,0.00220200,98.47344000,0.00000220,BTC,1621258075030,True,True,True,2021-05-17 21:27:55
38,BTCUSDT,840522011,5967204597,-1,44500.00000000,0.00114500,50.95250000,0.00000115,BTC,1621260717965,True,True,True,2021-05-17 22:11:57
39,BTCUSDT,840534438,5967792241,-1,44200.00000000,0.00600900,265.59780000,0.00000601,BTC,1621260951874,True,True,True,2021-05-17 22:15:51
40,BTCUSDT,840579844,5967851587,-1,43900.00000000,0.00262100,115.06190000,0.00000262,BTC,1621262151381,True,True,True,2021-05-17 22:35:51
41,BTCUSDT,840691763,5968991035,-1,43700.00000000,0.00394900,172.57130000,0.00000395,BTC,1621265752198,True,True,True,2021-05-17 23:35:52
42,BTCUSDT,840795510,5967795402,-1,43000.00000000,0.00463300,199.21900000,0.00000463,BTC,1621267872880,True,True,True,2021-05-18 00:11:12
43,BTCUSDT,840910843,5970346044,-1,42650.00000000,0.00322300,137.46095000,0.00000322,BTC,1621270565450,True,True,True,2021-05-18 00:56:05
44,BTCUSDT,844648048,5969027146,-1,41000.00000000,0.00420800,172.52800000,0.00000421,BTC,1621388815282,True,True,True,2021-05-19 09:46:55
45,BTCUSDT,895291377,6348639323,-1,34900.00000000,0.00691300,241.26370000,0.00000691,BTC,1623098909303,True,True,True,2021-06-08 04:48:29
46,BTCUSDT,895939657,6356099344,-1,33636.72000000,0.00516400,173.70002208,0.00000516,BTC,1623119223939,True,True,True,2021-06-08 10:27:03
47,BTCUSDT,896289014,6358284690,-1,32790.00000000,0.00553600,181.52544000,0.00000554,BTC,1623129662569,True,True,True,2021-06-08 13:21:02
48,BTCUSDT,897040084,6365591315,-1,31700.00000000,0.00453400,143.72780000,0.00000453,BTC,1623163917570,True,True,True,2021-06-08 22:51:57
49,BTCUSDT,900712845,6391375394,-1,37050.00000000,0.00323500,119.85675000,0.11985675,USDT,1623297101612,False,True,True,2021-06-10 11:51:41
50,BTCUSDT,900712847,6391375394,-1,37050.00000000,0.00673400,249.49470000,0.24949470,USDT,1623297102016,False,True,True,2021-06-10 11:51:42
51,BTCUSDT,900712848,6391375394,-1,37050.00000000,0.00070200,26.00910000,0.02600910,USDT,1623297102327,False,True,True,2021-06-10 11:51:42
52,BTCUSDT,900712850,6391375394,-1,37050.00000000,0.00062300,23.08215000,0.02308215,USDT,1623297102429,False,True,True,2021-06-10 11:51:42
53,BTCUSDT,901268944,6395364109,-1,37800.00000000,0.00542900,205.21620000,0.20521620,USDT,1623319372244,False,True,True,2021-06-10 18:02:52
54,BTCUSDT,901301707,6395444947,-1,38300.00000000,0.00271500,103.98450000,0.10398450,USDT,1623319449489,False,True,True,2021-06-10 18:04:09
55,BTCUSDT,909223826,6453129131,-1,40534.96000000,0.00468100,189.74414776,0.00000468,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
56,BTCUSDT,909223827,6453129131,-1,40537.76000000,0.00147900,59.95534704,0.00000148,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
